state,year,reference_usd_per_kw,policy_usd_per_kw
AZ,2024,3349.764648053516,3349.764648053516
AZ,2025,3319.173751772493,3319.173751772493
AZ,2026,3288.636042302537,3283.2402516583857
AZ,2027,3258.1509877755366,3243.75750667449
AZ,2028,3227.7180616420624,3190.392719304224
AZ,2029,3197.336742618179,3107.5185151059372
AZ,2030,3167.0065146327897,2983.9986680777993
AZ,2031,3136.7268667755106,2845.8548624894233
AZ,2032,3106.4972932450605,2737.8633365994415
AZ,2033,3076.317293298171,2668.2744322842727
AZ,2034,3046.1863711990063,2621.7242100440494
AZ,2035,3016.1040361690884,2585.356819881387
AZ,2036,2959.7394771058835,2525.5608489694205
AZ,2037,2903.4225382292498,2467.3064523631037
AZ,2038,2847.1527433373185,2409.487983658418
AZ,2039,2790.929620990245,2351.8291636697245
AZ,2040,2734.7527044625795,2294.2292144090534
