state,year,reference_usd_per_kw,policy_usd_per_kw
CO,2024,3736.763866399192,3736.763866399192
CO,2025,3706.0475008687063,3706.0475008687063
CO,2026,3675.3855768417816,3668.9541722544855
CO,2027,3644.777549903382,3627.6025585856014
CO,2028,3614.2228810826227,3569.6178030303245
CO,2029,3583.7210367983266,3476.137816271423
CO,2030,3553.271488805129,3333.3575689293957
CO,2031,3522.873714140121,3172.5413581320927
CO,2032,3492.527195070018,3047.940808062965
CO,2033,3462.231419038872,2969.7460924322904
CO,2034,3431.9858786162936,2919.2958043866925
CO,2035,3401.7900714461957,2881.33989359646
CO,2036,3345.313174964214,2820.7288241800666
CO,2037,3288.8850220429895,2761.940701186152
CO,2038,3232.5051252469148,2703.780902248328
CO,2039,3176.173002014738,2645.6880658806617
CO,2040,3119.8881746108214,2587.794339338027
