state,year,reference_usd_per_kw,policy_usd_per_kw
NY,2024,3662.249197827473,3662.249197827473
NY,2025,3631.2756071282975,3631.2756071282975
NY,2026,3600.3590301843697,3593.10049581954
NY,2027,3569.4988968581383,3550.1025698235826
NY,2028,3538.6946427134253,3488.220275515239
NY,2029,3507.945708958414,3385.8493848537823
NY,2030,3477.25154238921,3226.9504172909988
NY,2031,3446.6115953339536,3046.859543481177
NY,2032,3416.0253255975053,2907.9770792689274
NY,2033,3385.492196406678,2822.267747934779
NY,2034,3355.011676356015,2768.522301632654
NY,2035,3324.5832393541136,2729.014243804878
NY,2036,3267.8760393386456,2667.262295011307
NY,2037,3211.2198859192704,2607.5847451901227
NY,2038,3154.6142686300254,2548.612563750423
NY,2039,3098.0586821096113,2489.9329844637773
NY,2040,3041.552626050339,2431.2782019897513
