state,year,reference_usd_per_kw,policy_usd_per_kw
IL,2024,3333.257383510205,3333.257383510205
IL,2025,3302.7044713935456,3302.7044713935456
IL,2026,3272.20436624631,3266.177968144522
IL,2027,3241.7565399988025,3225.676830643381
IL,2028,3211.3604698620265,3169.6354045961266
IL,2029,3181.015638274874,3080.542360801974
IL,2030,3150.7215328518487,2945.8393536401322
IL,2031,3120.4776463313106,2794.6566628772903
IL,2032,3090.283476524233,2677.1733232620063
IL,2033,3060.1385262634817,2602.7285960356116
IL,2034,3030.0423033535944,2553.985244049137
IL,2035,2999.994320521062,2516.7951792893505
IL,2036,2943.6637701332684,2456.4464516832
IL,2037,2887.3804998452906,2397.7340092029744
IL,2038,2831.14403685613,2339.6410042109846
IL,2039,2774.9539130927988,2281.7307296116637
IL,2040,2718.8096651630385,2223.8364477135397
