state,year,reference_usd_per_kw,policy_usd_per_kw
OH,2024,3356.763976025541,3356.763976025541
OH,2025,3326.5905885775746,3326.5905885775746
OH,2026,3296.466212852345,3289.0028115124096
OH,2027,3266.3903587326236,3246.496486057504
OH,2028,3236.3625410023546,3184.865963737498
OH,2029,3206.3822792976453,3083.0202080871827
OH,2030,3176.4490980582386,2926.617863881075
OH,2031,3146.5625264794817,2751.720581888804
OH,2032,3116.7220984647684,2618.031444153107
OH,2033,3086.9273525784583,2535.545608909437
OH,2034,3057.177831999268,2483.6043748897982
OH,2035,3027.4730844741243,2445.3795468664093
OH,2036,2971.482337040646,2384.5855982338107
OH,2037,2915.535471677441,2325.814720178434
OH,2038,2859.6320495638047,2267.8402130290037
OH,2039,2803.7716362672427,2209.9288027451494
OH,2040,2747.953801699584,2152.137752820974
