state,year,reference_usd_per_kw,policy_usd_per_kw
PA,2024,3476.098291260429,3476.098291260429
PA,2025,3445.6714295139677,3445.6714295139677
PA,2026,3415.296114233228,3409.2726198572313
PA,2027,3384.9718299535516,3368.863673029416
PA,2028,3354.6980663649283,3312.7434640089896
PA,2029,3324.4743182604466,3222.784503230725
PA,2030,3294.3000854852658,3085.2980780827634
PA,2031,3264.1748728860925,2929.6468311194258
PA,2032,3234.098190261167,2808.2995657700753
PA,2033,3204.0695523107474,2731.528072515138
PA,2034,3174.0884785880876,2681.6910688732755
PA,2035,3144.1544934509097,2643.8683728764845
PA,2036,3087.9368007815174,2583.235494223387
PA,2037,3031.7652596347575,2524.2171075854662
PA,2038,2975.639408495402,2465.729476640192
PA,2039,2919.5587904633785,2407.5413241166516
PA,2040,2863.5229532076123,2349.349838164683
